Wavelength,Transmission
400,0
401,0
402,0
403,0
404,0
405,0
406,0.0053156
407,0.027914
408,0.084877
409,0.12396
410,0.19328
411,0.3961
412,0.87677
413,0.91536
414,0.94101
415,0.9488
416,0.94895
417,0.9491
418,0.94926
419,0.94941
420,0.94956
421,0.94971
422,0.94997
423,0.9503
424,0.95063
425,0.95096
426,0.9513
427,0.95163
428,0.95196
429,0.95197
430,0.95197
431,0.95197
432,0.95197
433,0.95201
434,0.95218
435,0.95235
436,0.95253
437,0.9527
438,0.95288
439,0.95305
440,0.95357
441,0.95409
442,0.95461
443,0.95514
444,0.95398
445,0.95241
446,0.95084
447,0.94927
448,0.94769
449,0.94612
450,0.93721
451,0.92224
452,0.90728
453,0.89232
454,0.83358
455,0.75923
456,0.70298
457,0.61511
458,0.52111
459,0.46453
460,0.37103
461,0.24698
462,0.11168
463,0.067873
464,0.039934
465,0.020563
466,0.0043669
467,0.0043669
468,0.0043669
469,0.0043669
470,0.0043669
471,0.004887
472,0.0061958
473,0.0075046
474,0.0088134
475,0.016267
476,0.045088
477,0.085399
478,0.13498
479,0.19725
480,0.29883
481,0.38799
482,0.68706
483,0.80275
484,0.88795
485,0.90649
486,0.92448
487,0.94247
488,0.94875
489,0.95037
490,0.95199
491,0.9536
492,0.95522
493,0.95684
494,0.95845
495,0.96007
496,0.96169
497,0.9633
498,0.9629
499,0.96107
500,0.95923
501,0.9574
502,0.95557
503,0.95374
504,0.95199
505,0.95265
506,0.95332
507,0.95399
508,0.95465
509,0.95532
510,0.95598
511,0.95584
512,0.95483
513,0.95381
514,0.95279
515,0.95177
516,0.95075
517,0.94974
518,0.94872
519,0.9477
520,0.94668
521,0.94567
522,0.94559
523,0.94583
524,0.94607
525,0.9463
526,0.94654
527,0.94678
528,0.94701
529,0.94725
530,0.94748
531,0.94555
532,0.9416
533,0.93766
534,0.93371
535,0.92976
536,0.92582
537,0.92187
538,0.91792
539,0.90675
540,0.89347
541,0.86676
542,0.82204
543,0.78906
544,0.71686
545,0.64511
546,0.55583
547,0.39247
548,0.30546
549,0.18361
550,0.10431
551,0.050923
552,0.034641
553,0.019616
554,0.0045907
555,0.0039869
556,0.0036011
557,0.0032153
558,0.0028296
559,0.0024438
560,0.003295
561,0.0067153
562,0.010136
563,0.013556
564,0.016976
565,0.03316
566,0.053066
567,0.094293
568,0.14115
569,0.20016
570,0.26504
571,0.35846
572,0.4384
573,0.51985
574,0.57867
575,0.6789
576,0.71921
577,0.80387
578,0.85798
579,0.89229
580,0.92039
581,0.92857
582,0.9308
583,0.93303
584,0.93527
585,0.9375
586,0.93973
587,0.94196
588,0.94243
589,0.94274
590,0.94306
591,0.94337
592,0.94368
593,0.944
594,0.94431
595,0.94463
596,0.94494
597,0.94526
598,0.94464
599,0.94307
600,0.9415
601,0.93993
602,0.93836
603,0.93679
604,0.93522
605,0.93365
606,0.93226
607,0.93193
608,0.9316
609,0.93126
610,0.93093
611,0.9306
612,0.93027
613,0.92993
614,0.9296
615,0.92927
616,0.92804
617,0.92489
618,0.92175
619,0.91861
620,0.91386
621,0.89994
622,0.86643
623,0.80414
624,0.69439
625,0.63181
626,0.45806
627,0.28395
628,0.13637
629,0.078669
630,0.039092
631,0.022804
632,0.0065171
633,0.0047996
634,0.0040949
635,0.0033901
636,0.0026854
637,0.0019806
638,0.0012759
639,0.00057115
640,5.7891e-05
641,0.00036328
642,0.00066868
643,0.00097407
644,0.0012795
645,0.0015849
646,0.0018902
647,0.0026115
648,0.013324
649,0.024036
650,0.034748
651,0.048816
652,0.079599
653,0.11088
654,0.14267
655,0.17565
656,0.2071
657,0.23968
658,0.27931
659,0.32873
660,0.35622
661,0.39172
662,0.44465
663,0.49358
664,0.53284
665,0.56362
666,0.6154
667,0.6518
668,0.68523
669,0.71601
670,0.74534
671,0.77751
672,0.82033
673,0.84842
674,0.87229
675,0.88194
676,0.89158
677,0.90123
678,0.91087
679,0.92051
680,0.9269
681,0.9308
682,0.93471
683,0.93862
684,0.94218
685,0.94259
686,0.94299
687,0.9434
688,0.94381
689,0.94422
690,0.94276
691,0.94064
692,0.93851
693,0.93639
694,0.93427
695,0.93221
696,0.93092
697,0.92963
698,0.92833
699,0.92704
700,0.92579
701,0.92733
702,0.92887
703,0.93041
704,0.93196
705,0.9335
706,0.93506
707,0.93667
708,0.93827
709,0.93987
710,0.94148
711,0.94168
712,0.94089
713,0.94011
714,0.93932
715,0.93854
716,0.93775
717,0.93697
718,0.93618
719,0.93535
720,0.93439
721,0.93342
722,0.93246
723,0.93149
724,0.93053
725,0.9305
726,0.93113
727,0.93176
728,0.9324
729,0.93303
730,0.93366
731,0.93429
732,0.93492
733,0.93556
734,0.93559
735,0.93559
736,0.93559
737,0.93559
738,0.93559
739,0.93559
740,0.93554
741,0.93541
742,0.93528
743,0.93515
744,0.93501
745,0.93488
746,0.93475
747,0.93462
748,0.9345
749,0.93463
750,0.93475
